color,director_name,duration,gross,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes,action,adventure,biography,comedy,crime,drama,fantasy,history,music,musical,mystery,romance,sci-fi,sport,thriller,unknown,war,western
color,martin scorsese,138,127968405,shutter island,2010,english,usa,80000000,8.1,"leonardo dicaprio,joseph sikora,nellie sciutto",53000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
color,ridley scott,138,16969390,the counselor,2013,english,usa,25000000,5.3,"michael fassbender,brad pitt,goran visnjic",24000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
color,james mangold,138,132550960,the wolverine,2013,english,usa,120000000,6.7,"hugh jackman,tao okamoto,rila fukushima",68000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
color,daniel espinosa,137,1206135,child 44,2015,english,czech republic,50000000,6.4,"tom hardy,fares fares,michael nardone",18000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
color,nameless,137,37304950,j. edgar,2011,english,usa,35000000,6.6,"leonardo dicaprio,naomi watts,kaitlyn dever",16000,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
color,walter salles,137,717753,on the road,2012,english,france,25000000,6.1,"kristen stewart,viggo mortensen,kirsten dunst",27000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
color,nameless,137,281666058,the hunger games: mockingjay - part 2,2015,english,usa,160000000,6.6,"jennifer lawrence,philip seymour hoffman,josh hutcherson",38000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
color,angelina jolie pitt,137,115603980,unbroken,2014,english,usa,65000000,7.2,"finn wittrock,jack o'connell,alex russell",35000,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
color,seth macfarlane,136,42615685,a million ways to die in the west,2014,english,usa,40000000,6.1,"liam neeson,charlize theron,seth macfarlane",24000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
color,anthony russo,136,259746958,captain america: the winter soldier,2014,english,usa,170000000,7.8,"scarlett johansson,chris evans,hayley atwell",55000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
color,rob marshall,136,241063875,pirates of the caribbean: on stranger tides,2011,english,usa,250000000,6.7,"johnny depp,sam claflin,stephen graham",58000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
color,adam shankman,136,38509342,rock of ages,2012,english,usa,75000000,5.9,"james martin kelly,shane hartline,celina beach",33000,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
color,nameless,136,52474616,wall street: money never sleeps,2010,english,usa,70000000,6.3,"frank langella,austin pendleton,john buffalo mailer",13000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
color,tony gilroy,135,113165635,the bourne legacy,2012,english,usa,125000000,6.7,"jeremy renner,scott glenn,stacy keach",31000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
color,steve mcqueen,134,56667870,12 years a slave,2013,english,usa,20000000,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
color,paul greengrass,134,107100855,captain phillips,2013,english,usa,55000000,7.9,"tom hanks,chris mulkey,michael chernus",65000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
color,david ayer,134,85707116,fury,2014,english,usa,68000000,7.6,"brad pitt,logan lerman,jim parrack",82000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
